"Obs_NM","DA_Obs","SRC_obs","Use_region","Gauge_nm","data_tp","Lat","Lon","HYD_STATUS"
02O005BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,44.99214962,-74.25754206,<NA>
02O006BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,44.99231865,-74.25469308,<NA>
02O007BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,44.99217377,-74.21873082,<NA>
02O008BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,44.99150437,-74.15013188,<NA>
02O009BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,44.99212733,-74.12449205,<NA>
02O010BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,44.99382208,-74.08448333,<NA>
02O011BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,44.99499866,-74.0494606,<NA>
02O012BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,44.99841645,-73.95589724,<NA>
02O013BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,44.99887255,-73.94259804,<NA>
02O014BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,45.00311562,-73.76365062,<NA>
02O015BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,45.00290838,-73.6752067,<NA>
02O016BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,45.00299023,-73.65252973,<NA>
02O017BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,45.00349194,-73.6395814,<NA>
02O018BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,45.00781121,-73.49287767,<NA>
02O019BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,45.01564942,-73.05284098,<NA>
02O020BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,45.0150143,-72.93076343,<NA>
02O021BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,45.01563734,-72.76089453,<NA>
02O022BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,45.01498721,-72.66779226,<NA>
02O023BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,45.00845082,-72.44330524,<NA>
02O024BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,45.00696573,-72.4060689,<NA>
02O025BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,45.00542546,-72.19280628,<NA>
02O026BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,45.00590228,-72.16213817,<NA>
02O027BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,45.00581628,-72.15857848,<NA>
02O028BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,45.0060818,-72.15524034,<NA>
02O029BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,45.00590915,-72.14812097,<NA>
02O030BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,45.00607057,-72.14763844,<NA>
02O031BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,45.00552131,-72.11107695,<NA>
02O032BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,45.0056239,-72.10822124,<NA>
02O033BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,45.00666577,-72.02917462,<NA>
02O034BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,45.00771519,-71.97934659,<NA>
02O035BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,45.00785239,-71.96805356,<NA>
02O036BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,45.00870386,-71.86417265,<NA>
02O037BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,45.00986252,-71.82145785,<NA>
02O038BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,45.01055252,-71.80585626,<NA>
02O039BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,45.01073518,-71.79693503,<NA>
02O040BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,45.01107558,-71.7630523,<NA>
05N037BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, SK",<NA>,48.99921893,-103.5621153,<NA>
05N038BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, SK",<NA>,48.9993429,-103.5312672,<NA>
05N039BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, SK",<NA>,48.99936186,-103.5090456,<NA>
05N040BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, SK",<NA>,48.99926524,-103.4662282,<NA>
05N041BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, SK",<NA>,48.99935996,-103.4390835,<NA>
05N042BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, SK",<NA>,48.99933949,-103.3687149,<NA>
05N043BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, SK",<NA>,48.9994441,-103.3485707,<NA>
05N044BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, SK",<NA>,48.99935228,-103.0828127,<NA>
05N045BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, SK",<NA>,48.99927167,-103.0684052,<NA>
05N046BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, SK",<NA>,48.99947044,-103.0655581,<NA>
05N047BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, SK",<NA>,48.99935609,-102.9651983,<NA>
05N048BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, SK",<NA>,48.99940062,-102.8369223,<NA>
05N049BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, SK",<NA>,48.99925413,-102.8027774,<NA>
05N050BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, SK",<NA>,48.99926642,-102.7904464,<NA>
05N051BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, SK",<NA>,48.99928653,-102.7657844,<NA>
05N052BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, SK",<NA>,48.9992129,-102.7546741,<NA>
05N053BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, SK",<NA>,48.99896838,-102.4114819,<NA>
05N054BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, SK",<NA>,48.99876024,-102.3370901,<NA>
05N055BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, SK",<NA>,48.99892685,-102.2952117,<NA>
05N056BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, SK",<NA>,48.99890955,-102.2340036,<NA>
05N057BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, SK",<NA>,48.99876479,-102.0709308,<NA>
05N058BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, SK",<NA>,48.9988845,-102.0598593,<NA>
05N059BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, SK",<NA>,48.99881195,-101.964993,<NA>
05N060BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, SK",<NA>,48.99914238,-101.8710133,<NA>
05N061BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, SK",<NA>,48.99898106,-101.864423,<NA>
05N062BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, SK",<NA>,48.99924627,-101.7076409,<NA>
05N063BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, SK",<NA>,48.99936122,-101.6132519,<NA>
05N064BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, SK",<NA>,48.99940121,-101.4281751,<NA>
05N065BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, SK",<NA>,48.99936382,-101.3932929,<NA>
05N066BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99935545,-101.3112325,<NA>
05N067BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99938001,-101.2587215,<NA>
05N068BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99957027,-101.2550518,<NA>
05N069BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99944523,-101.2312428,<NA>
05N070BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99949101,-101.2250946,<NA>
05N071BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99939837,-101.2058028,<NA>
05N072BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99964947,-101.2009096,<NA>
05N073BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99952881,-101.1233662,<NA>
05N074BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99947011,-101.0105647,<NA>
05N075BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99951734,-100.9876027,<NA>
05N076BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99958901,-100.9584921,<NA>
05N077BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99959837,-100.9527516,<NA>
05N078BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99945706,-100.9445336,<NA>
05N079BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99971544,-100.9392311,<NA>
05N080BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99971182,-100.9281578,<NA>
05N081BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99956739,-100.8863125,<NA>
05N082BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99959051,-100.8576098,<NA>
05N083BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99965889,-100.8391643,<NA>
05N084BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99940553,-100.7353974,<NA>
05N085BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.9993797,-100.7243243,<NA>
05N086BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99944742,-100.7112113,<NA>
05N087BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99949456,-100.6985063,<NA>
05N088BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99938581,-100.5943609,<NA>
05N089BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.9994943,-100.4890193,<NA>
05N090BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99937172,-100.2721874,<NA>
05N091BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.9992226,-100.1451356,<NA>
05N092BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99924007,-100.0980142,<NA>
05N093BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99924339,-100.0844926,<NA>
05O001BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99928782,-99.93248913,<NA>
05O002BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99921065,-99.8923328,<NA>
05O003BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99931261,-99.7161915,<NA>
05O004BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99927868,-99.66498708,<NA>
05O005BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99915605,-99.66088093,<NA>
05O006BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99939376,-99.53188204,<NA>
05O007BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99953274,-99.47291741,<NA>
05O008BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99946768,-99.40288225,<NA>
05O009BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99962371,-99.3820087,<NA>
05O010BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99946395,-99.37053015,<NA>
05O011BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99960001,-99.35825515,<NA>
05O012BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99951868,-99.3029665,<NA>
05O013BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.9997334,-99.27964154,<NA>
05O014BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99963335,-99.25752209,<NA>
05O015BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99986539,-99.16458995,<NA>
05O016BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99990325,-99.03930498,<NA>
05O017BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99984079,-99.0323406,<NA>
05O018BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99993598,-99.02006462,<NA>
05O019BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,48.99996916,-99.00983155,<NA>
05O020BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00000787,-98.97175932,<NA>
05O021BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00010383,-98.92181943,<NA>
05O022BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00004505,-98.91444658,<NA>
05O023BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.0000217,-98.68970767,<NA>
05O024BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.0001724,-98.67375298,<NA>
05O025BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00021235,-98.63077655,<NA>
05O026BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00014031,-98.59147836,<NA>
05O027BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00008662,-98.5615961,<NA>
05O028BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00018963,-98.55750905,<NA>
05O029BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.0002026,-98.53540775,<NA>
05O030BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00030897,-98.45396585,<NA>
05O031BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00021622,-98.37824616,<NA>
05O032BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00037951,-98.34796982,<NA>
05O033BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00018947,-98.27306793,<NA>
05O034BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00024935,-98.23378455,<NA>
05O035BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00024528,-98.20923072,<NA>
05O036BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00030748,-98.20636924,<NA>
05O037BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00022701,-98.12124839,<NA>
05O038BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00028681,-98.07910325,<NA>
05O039BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00034993,-98.06273825,<NA>
05O040BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00046009,-98.03041694,<NA>
05O041BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00063027,-97.88107383,<NA>
05O042BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00063145,-97.8663439,<NA>
05O043BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.0006156,-97.85243167,<NA>
05O044BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00043897,-97.80209803,<NA>
05O045BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00053787,-97.70227057,<NA>
05O046BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00053351,-97.68631409,<NA>
05O047BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00045518,-97.44575044,<NA>
05O048BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00057123,-97.4375722,<NA>
05O049BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.0003703,-97.24815865,<NA>
05O050BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00033919,-97.22852223,<NA>
05O051BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00046397,-97.19539084,<NA>
05O052BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00035625,-97.18147961,<NA>
05O053BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.0005123,-97.1679845,<NA>
05O054BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00043793,-97.15080177,<NA>
05O055BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00018426,-96.90904593,<NA>
05O056BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00024623,-96.9020935,<NA>
05O057BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00023304,-96.77242908,<NA>
05O058BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.0000474,-96.55196314,<NA>
05O059BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00015429,-96.53192269,<NA>
05O060BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, MB",<NA>,49.00001552,-96.50615317,<NA>
